WARN (translation.language): source/blender/blentranslation/intern/blt_lang.cc:214 BLT_lang_init: Falling back to standard locale ("C")
Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:30:47)
Read blend: "/Users/xiaruonan/nihongo-art-work/desktop-v1/art-source/desktop-v1/yorimichi-shop.blend"
Fra:1 Mem:128.51M (Peak 128.51M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Window inner jamb.003
Fra:1 Mem:128.50M (Peak 128.51M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Window top rebate.001
Fra:1 Mem:128.52M (Peak 128.52M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Recessed glazing.003
Fra:1 Mem:128.54M (Peak 128.54M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Slender glazing mullion.003
Fra:1 Mem:128.55M (Peak 128.55M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Recessed glazing.004
Fra:1 Mem:128.55M (Peak 128.55M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Slender glazing mullion.004
Fra:1 Mem:128.58M (Peak 128.59M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Slender glazing mullion.005
Fra:1 Mem:128.60M (Peak 128.60M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Window mid transom.001
Fra:1 Mem:128.63M (Peak 128.63M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Apron vertical slat.014
Fra:1 Mem:128.66M (Peak 128.66M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Apron vertical slat.016
Fra:1 Mem:128.68M (Peak 128.68M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Apron vertical slat.017
Fra:1 Mem:128.69M (Peak 128.69M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Apron vertical slat.018
Fra:1 Mem:128.72M (Peak 128.72M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Apron vertical slat.020
Fra:1 Mem:128.75M (Peak 128.75M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Apron vertical slat.021
Fra:1 Mem:128.73M (Peak 128.75M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Apron vertical slat.022
Fra:1 Mem:128.79M (Peak 128.79M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Apron vertical slat.023
Fra:1 Mem:128.77M (Peak 128.79M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Apron vertical slat.024
Fra:1 Mem:128.79M (Peak 128.79M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Apron vertical slat.026
Fra:1 Mem:128.80M (Peak 128.80M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Apron vertical slat.027
Fra:1 Mem:128.82M (Peak 128.82M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper timber stile
Fra:1 Mem:128.84M (Peak 128.84M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper timber stile.001
Fra:1 Mem:128.88M (Peak 128.88M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper timber stile.002
Fra:1 Mem:128.87M (Peak 128.88M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper timber stile.005
Fra:1 Mem:128.92M (Peak 128.92M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sign backing
Fra:1 Mem:128.92M (Peak 128.92M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sign inset
Fra:1 Mem:128.95M (Peak 128.95M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sign mounting pin
Fra:1 Mem:128.99M (Peak 128.99M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sign mounting pin.001
Fra:1 Mem:128.97M (Peak 128.99M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sign mounting pin.003
Fra:1 Mem:128.98M (Peak 128.99M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper frosted pane
Fra:1 Mem:128.97M (Peak 128.99M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper frame rail
Fra:1 Mem:128.98M (Peak 128.99M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper lattice
Fra:1 Mem:129.10M (Peak 129.10M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper lattice.001
Fra:1 Mem:129.12M (Peak 129.12M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper lattice.002
Fra:1 Mem:129.12M (Peak 129.12M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper lattice.005
Fra:1 Mem:129.13M (Peak 129.13M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper lattice.007
Fra:1 Mem:129.18M (Peak 129.18M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper lattice.008
Fra:1 Mem:129.21M (Peak 129.21M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Deep upper sill
Fra:1 Mem:129.22M (Peak 129.22M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper window dark reveal.001
Fra:1 Mem:129.25M (Peak 129.25M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper frosted pane.001
Fra:1 Mem:129.27M (Peak 129.27M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper window jamb.002
Fra:1 Mem:129.27M (Peak 129.27M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper frame rail.003
Fra:1 Mem:129.30M (Peak 129.30M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper lattice.009
Fra:1 Mem:129.33M (Peak 129.33M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper lattice.010
Fra:1 Mem:129.35M (Peak 129.35M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper lattice.011
Fra:1 Mem:129.38M (Peak 129.38M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper lattice.012
Fra:1 Mem:129.39M (Peak 129.39M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper lattice.013
Fra:1 Mem:129.41M (Peak 129.41M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper lattice.014
Fra:1 Mem:129.42M (Peak 129.42M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper lattice.016
Fra:1 Mem:129.44M (Peak 129.44M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper lattice.017
Fra:1 Mem:129.48M (Peak 129.48M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Deep upper sill.001
Fra:1 Mem:129.49M (Peak 129.49M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper window dark reveal.002
Fra:1 Mem:129.49M (Peak 129.49M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper frosted pane.002
Fra:1 Mem:129.52M (Peak 129.52M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper window jamb.004
Fra:1 Mem:129.52M (Peak 129.52M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper frame rail.005
Fra:1 Mem:129.54M (Peak 129.54M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper lattice.018
Fra:1 Mem:129.56M (Peak 129.56M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper lattice.019
